"Y";"log";"ridge";"lasso";"elastic";"foret";"adabo";"logibo";"svm";"pm";"arbre"
"0";0,597336667822583;0,591139204606976;0;0;0;0;0;0;0,330786824226379;0
"0";0,333679880248712;0,374064577514346;0;0;0;0;0;0;0,339202433824539;0
"1";0,88690961289885;0,859558856165574;0;0;0;0;0;0;0,335972279310226;0
"0";0,464269332658414;0,497829002836724;0;0;0;0;0;0;0,335972279310226;0
"0";0,13945694870494;0,113529950361917;0,119287343327141;0,120833555407299;0,172;0,0832566250482282;0,0968356963726992;0,167765403615023;0,329978078603745;0,101228501228501
"0";0,333527531192578;0,287614659782393;0;0;0;0;0;0;0,339202433824539;0
"0";0,0564831449748962;0,0845849109843087;0;0;0;0;0;0;0,350110411643982;0
"0";0,0542378057757348;0,0770937054892184;0;0;0;0;0;0;0,330786824226379;0
"1";0,948324655786753;0,940714757632373;0;0;0;0;0;0;0,330786824226379;0
"1";0,647746034431125;0,672312565739373;0,595450661131113;0,71683292413053;0,658;0,715785591226369;0,682283330667736;0,600204864390022;0,329978078603745;0,387959866220736
"0";0,0316182567789129;0,0599163816874706;0;0;0;0;0;0;0,335972279310226;0
"0";0,083136009816607;0,197115054489663;0;0;0;0;0;0;0,330786824226379;0
"0";0,0164075940341366;0,0318073092031621;0;0;0;0;0;0;0,330786824226379;0
"0";0,0661993124186038;0,08993599782413;0;0;0;0;0;0;0,339202433824539;0
"1";0,573553485714864;0,52778902447686;0;0;0;0;0;0;0,339202433824539;0
"1";0,635796735551214;0,682395501391299;0;0;0;0;0;0;0,330786824226379;0
"0";0,0235619709324238;0,0322286240524962;0;0;0;0;0;0;0,330786824226379;0
"1";0,870643992652123;0,84600885759174;0,802080172475932;0,848810572246321;0,792;0,788064829866632;0,812238555210326;0,875085680177084;0,329978078603745;0,680829015544041
"0";0,0794222055851364;0,0777676872644792;0,0954704746126791;0,075484986632285;0,148;0,0747082695059737;0,109954912831623;0,109284313344551;0,329978078603745;0,101228501228501
"0";0,034395277842646;0,0665885034019832;0;0;0;0;0;0;0,339202433824539;0
"0";0,367323086181924;0,389430915275205;0;0;0;0;0;0;0,330786824226379;0
"1";0,137293194741375;0,143764740629857;0;0;0;0;0;0;0,430452883243561;0
"0";0,0527953340409258;0,0715472864885807;0;0;0;0;0;0;0,330786824226379;0
"1";0,834414080671816;0,828064751494897;0,767556777414555;0,812460154076811;0,748;0,699188855141422;0,756537298425417;0,810984104700029;0,329978078603745;0,680829015544041
"1";0,618265747976156;0,585639660704828;0;0;0;0;0;0;0,350110411643982;0
"0";0,10511396284028;0,130905369860008;0,180045769643305;0,143163672609373;0,142;0,167746952228028;0,176199648335619;0,13086507979881;0,329978078603745;0,342042755344418
"1";0,751287371030511;0,659900991165681;0;0;0;0;0;0;0,339202433824539;0
"0";0,0736450768626008;0,0926554205812255;0,104306633912651;0,0806720060784435;0,122;0,0634705237960067;0,0921526963939658;0,104929240552411;0,329978078603745;0,101228501228501
"0";0,112867670623948;0,116417291156114;0;0;0;0;0;0;0,330786824226379;0
"0";0,0446760424654155;0,0789147932481957;0;0;0;0;0;0;0,339202433824539;0
"0";0,0613547460998759;0,0648616415109106;0;0;0;0;0;0;0,339202433824539;0
"1";0,725220677096086;0,609406027425521;0;0;0;0;0;0;0,330786824226379;0
"1";0,652575657952767;0,593847582988932;0,608212564533637;0,600905446473105;0,478;0,577745950060272;0,550286076361085;0,60151677061939;0,423911571502686;0,680829015544041
"0";0,630715244722298;0,467932401797484;0;0;0;0;0;0;0,330786824226379;0
"1";0,792588819806219;0,775249990355024;0;0;0;0;0;0;0,330786824226379;0
"0";0,141288877292485;0,152118321421561;0;0;0;0;0;0;0,330786824226379;0
"0";0,474741334914762;0,429518686195914;0;0;0;0;0;0;0,335972279310226;0
"1";0,275913801037837;0,354599727288024;0;0;0;0;0;0;0,330786824226379;0
"0";0,0692837508687891;0,127996723558515;0;0;0;0;0;0;0,339202433824539;0
"0";0,0162123459406646;0,0242025566757831;0;0;0;0;0;0;0,339202433824539;0
"1";0,574701866360976;0,577987983037942;0;0;0;0;0;0;0,339202433824539;0
"0";0,0729014055941733;0,109850824757636;0;0;0;0;0;0;0,339202433824539;0
"0";0,0722730272314921;0,11765903515115;0;0;0;0;0;0;0,330786824226379;0
"0";0,182132615283669;0,169246453581891;0;0;0;0;0;0;0,330786824226379;0
"1";0,878223975043708;0,836741939024647;0;0;0;0;0;0;0,330786824226379;0
"0";0,110617193493656;0,143738020423424;0;0;0;0;0;0;0,330786824226379;0
"0";0,580034045109119;0,529829656054525;0;0;0;0;0;0;0,335972279310226;0
"1";0,886588114719712;0,865423088133224;0,813676596848005;0,858976609431219;0,71;0,723647816106121;0,738250629557055;0,868338527815272;0,329978078603745;0,680829015544041
"0";0,043979272331078;0,0673202985261271;0;0;0;0;0;0;0,339202433824539;0
"0";0,0271214596874854;0,0590042857899229;0;0;0;0;0;0;0,335972279310226;0
"0";0,0181988924149334;0,028100543322602;0;0;0;0;0;0;0,335972279310226;0
"1";0,698671398362033;0,677306042610303;0;0;0;0;0;0;0,339202433824539;0
"0";0,0453681572514008;0,0556937417387824;0;0;0;0;0;0;0,335972279310226;0
"0";0,0847229419981643;0,107274718056648;0;0;0;0;0;0;0,335972279310226;0
"0";0,122419360195725;0,135459616923119;0;0;0;0;0;0;0,330786824226379;0
"0";0,903615894901108;0,830989275388442;0;0;0;0;0;0;0,335972279310226;0
"0";0,0582970814628756;0,0776167313860523;0;0;0;0;0;0;0,335972279310226;0
"0";0,174511587828335;0,24868270598377;0;0;0;0;0;0;0,335972279310226;0
"1";0,883580426606501;0,831119344513226;0;0;0;0;0;0;0,335972279310226;0
"0";0,0436428029663935;0,0568572301560813;0;0;0;0;0;0;0,339202433824539;0
"1";0,830641297565766;0,720820231352572;0;0;0;0;0;0;0,330786824226379;0
